Week,Concept,Concreteness_Level,Repetition_N_Weeks,Time_Per_Concept_Min,Has_Assessment,N_Assessment_Items,Item_Codes,Assessment_Question,Correct_Answer,Item_Difficulty,Correct_Answer_Verified
4,Motors,5,2,11.3,True,1,GA04,GA04: Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,VERIFY,GA04: 1.01 (difficult),b
5,Blockly programming,4,1,21.7,False,0,,,,,
5,Sensor types,5,3,21.7,False,0,,,,,
5,Marty sensors,5,3,21.7,False,0,,,,,
5,How sensors work,5,2,21.7,False,0,,,,,
5,Sensor programming,5,3,21.7,False,0,,,,,
5,Choreography programming,4,1,21.7,False,0,,,,,
6,Microcontrollers,2,1,12.3,False,0,,,,,
6,Arduino,4,1,12.3,False,0,,,,,
6,C++ programming,4,1,12.3,False,0,,,,,
6,"AI ethics (privacy, transparency, alignment)",2,5,12.3,True,1,GA16,GA16: A company decides to use AI instead of human voice actors for the voice recordings of a movie. What ethical problem could arise in terms of social responsibility?,VERIFY,GA16: -1.01 (easy),b
6,Mental health impacts,2,2,12.3,False,0,,,,,
6,Over-reliance,2,1,12.3,False,0,,,,,
6,Manipulation,2,1,12.3,False,0,,,,,
6,Misinformation,2,1,12.3,False,0,,,,,
6,Sustainability impacts,2,2,12.3,False,0,,,,,
6,Equity,2,2,12.3,False,0,,,,,
6,Safeguards,2,2,12.3,False,0,,,,,
7,Microcontroller review,2,2,20.5,False,0,,,,,
7,Safeguards review,2,2,20.5,False,0,,,,,
7,Scaffolded LLM interactions,2,1,20.5,False,0,,,,,
7,LLM interaction design,2,3,20.5,False,0,,,,,
7,Educational LLM applications,3,1,20.5,False,0,,,,,
7,Responsible AI synthesis,2,1,20.5,False,0,,,,,
