Week,Concept,Concreteness_Level,Repetition_N_Weeks,Time_Per_Concept_Min,Has_Assessment,N_Assessment_Items,Item_Codes,Question_Stem,Option_A,Option_B,Option_C,Option_D,Correct_Answer_Verified,Answer_Rationale,Item_Difficulty
3,Environmental impact,2,1,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,Social equity,2,2,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,Cultural bias,2,1,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,Feedback loops,2,1,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
4,Biases in AI,2,1,11.3,True,2,"GA04, PR1",Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,"b, a",Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,Hallucinations,2,1,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,When NOT to use AI,2,1,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,Appropriate AI use,2,1,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,Programming basics,4,3,11.3,True,1,PR1,,,,,,a,,
4,Loops,2,2,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,Conditionals,2,1,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,Libraries,2,1,11.3,True,1,PR1,,,,,,a,,
4,Marty architecture,2,3,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,"Sensors (IR, color)",5,3,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
4,Motors,5,2,11.3,True,1,GA04,Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?,The model is trained using noisy or erroneous data.,The model is trained with too much data.,The model is not trained with enough data.,The model is not given enough context.,b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
5,Blockly programming,4,1,21.7,False,0,,,,,,,,,
5,Sensor types,5,3,21.7,False,0,,,,,,,,,
5,Marty sensors,5,3,21.7,False,0,,,,,,,,,
5,How sensors work,5,2,21.7,False,0,,,,,,,,,
5,Sensor programming,5,3,21.7,False,0,,,,,,,,,
5,Choreography programming,4,1,21.7,False,0,,,,,,,,,
6,Microcontrollers,2,1,12.3,False,0,,,,,,,,,
6,Arduino,4,1,12.3,False,0,,,,,,,,,
6,C++ programming,4,1,12.3,False,0,,,,,,,,,
6,"AI ethics (privacy, transparency, alignment)",2,5,12.3,True,1,GA16,A company decides to use AI instead of human voice actors for the voice recordings of a movie. What ethical problem could arise in terms of social responsibility?,AI might not provide the desired emotional expression.,Using AI could potentially put a human out of work.,Viewers might have problems accepting the AI voice as authentic.,AI takes longer to produce than human speakers.,b,Replacing workers = social responsibility concern,GA16: -1.01 (easy)
6,Mental health impacts,2,2,12.3,False,0,,,,,,,,,
6,Over-reliance,2,1,12.3,False,0,,,,,,,,,
6,Manipulation,2,1,12.3,False,0,,,,,,,,,
6,Misinformation,2,1,12.3,False,0,,,,,,,,,
6,Sustainability impacts,2,2,12.3,False,0,,,,,,,,,
6,Equity,2,2,12.3,False,0,,,,,,,,,
6,Safeguards,2,2,12.3,False,0,,,,,,,,,
7,Microcontroller review,2,2,20.5,False,0,,,,,,,,,
7,Safeguards review,2,2,20.5,False,0,,,,,,,,,
7,Scaffolded LLM interactions,2,1,20.5,False,0,,,,,,,,,
7,LLM interaction design,2,3,20.5,False,0,,,,,,,,,
7,Educational LLM applications,3,1,20.5,False,0,,,,,,,,,
7,Responsible AI synthesis,2,1,20.5,False,0,,,,,,,,,
