Week_Number,Week,Concept,Concept_Category,Concreteness_Level,Repetition_N_Weeks,Time_Per_Concept_Min,Has_Assessment,N_Matching_Items,Matching_Item_IDs,Assessment_Question,Correct_Answer,Item_Difficulties,Item_Source,Instructional_Time_Min,N_Concepts_Week
4,Week 4,Libraries,Other,2,0,12.4,True,1,12,"[Item 12] 1. When designing a prompt for an LLM, which of the following instructions could produce a worse response?
a) ""Act as an expert historian and summarize the main causes of the French Revolution in 100 words.""
b) ""Write a short, funny poem about a robot that is learning to cook.""
c) ""Tell me about science.""
d) ""Based on the attached document, identify three key risks and one opportunity.""",VERIFY,,added by author,124,10
4,Week 4,"Marty architecture (motors, sensors)",Sensors,5,3,12.4,False,0,,,,,,124,10
4,Week 4,"Sensors (infrared, color)",Sensors,5,3,12.4,False,0,,,,,,124,10
4,Week 4,Motor function,Programming,5,4,12.4,True,1,12,"[Item 12] 1. When designing a prompt for an LLM, which of the following instructions could produce a worse response?
a) ""Act as an expert historian and summarize the main causes of the French Revolution in 100 words.""
b) ""Write a short, funny poem about a robot that is learning to cook.""
c) ""Tell me about science.""
d) ""Based on the attached document, identify three key risks and one opportunity.""",VERIFY,,added by author,124,10
5,Week 5,Blockly programming,Programming,4,4,18.571428571428573,False,0,,,,,,130,7
5,Week 5,Sensor types (general),Sensors,5,3,18.571428571428573,True,1,1,"[Item 1] 2. What movements can Marty's hip motor perform?
a) move the entire leg
b) rotate the lower leg at the knee
c) bend the knee
d) raise and lower the arm",VERIFY,,added by authors,130,7
5,Week 5,"Marty sensors (infrared, color)",Sensors,5,3,18.571428571428573,True,1,1,"[Item 1] 2. What movements can Marty's hip motor perform?
a) move the entire leg
b) rotate the lower leg at the knee
c) bend the knee
d) raise and lower the arm",VERIFY,,added by authors,130,7
5,Week 5,How sensors work,Sensors,5,3,18.571428571428573,True,1,1,"[Item 1] 2. What movements can Marty's hip motor perform?
a) move the entire leg
b) rotate the lower leg at the knee
c) bend the knee
d) raise and lower the arm",VERIFY,,added by authors,130,7
5,Week 5,Sensor input in programming,Programming,5,4,18.571428571428573,True,1,1,"[Item 1] 2. What movements can Marty's hip motor perform?
a) move the entire leg
b) rotate the lower leg at the knee
c) bend the knee
d) raise and lower the arm",VERIFY,,added by authors,130,7
5,Week 5,Dance choreography programming,Programming,4,4,18.571428571428573,False,0,,,,,,130,7
5,Week 5,Sensor-triggered actions,Sensors,5,3,18.571428571428573,False,0,,,,,,130,7
6,Week 6,"Microcontrollers (definition, function)",Programming,2,4,12.272727272727272,False,0,,,,,,135,11
6,Week 6,Arduino Nano introduction,Microcontroller,4,2,12.272727272727272,False,0,,,,,,135,11
6,Week 6,C++ programming,Programming,4,4,12.272727272727272,False,0,,,,,,135,11
6,Week 6,"AI ethics (transparency, privacy, alignment)",Ethics,2,1,12.272727272727272,True,1,16,"[Item 16] 1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",VERIFY,GA16: -1.01 (easy),added by author,135,11
6,Week 6,Mental health impacts of AI,Other,2,0,12.272727272727272,False,0,,,,,,135,11
6,Week 6,Over-reliance on AI,Other,2,0,12.272727272727272,True,1,16,"[Item 16] 1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",VERIFY,GA16: -1.01 (easy),added by author,135,11
6,Week 6,Manipulation and persuasion by AI,Other,2,0,12.272727272727272,True,1,16,"[Item 16] 1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",VERIFY,GA16: -1.01 (easy),added by author,135,11
6,Week 6,Misinformation and content accuracy,Other,2,0,12.272727272727272,True,1,16,"[Item 16] 1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",VERIFY,GA16: -1.01 (easy),added by author,135,11
6,Week 6,"Sustainability impacts (energy, water)",Sustainability,2,2,12.272727272727272,False,0,,,,,,135,11
6,Week 6,Equity and accessibility,Other,2,0,12.272727272727272,True,1,16,"[Item 16] 1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",VERIFY,GA16: -1.01 (easy),added by author,135,11
6,Week 6,LLM safeguards,LLM,2,5,12.272727272727272,False,0,,,,,,135,11
7,Week 7,Microcontroller review,Microcontroller,2,2,20.5,False,0,,,,,,123,6
7,Week 7,LLM safeguards review,LLM,2,5,20.5,False,0,,,,,,123,6
7,Week 7,Scaffolded vs unscaffolded LLM interactions,LLM,2,5,20.5,False,0,,,,,,123,6
7,Week 7,LLM interaction design,LLM,2,5,20.5,False,0,,,,,,123,6
7,Week 7,Educational applications of LLMs,LLM,2,5,20.5,False,0,,,,,,123,6
7,Week 7,Responsible AI use synthesis,Other,2,0,20.5,False,0,,,,,,123,6
